Customer_ID,Name,Age,Gender,Account_Type,Account_Balance,Loan_Amount,Loan_Status,Credit_Score,Monthly_Income,Employment_Status,Transaction_Count,Phone,City,Late_Payments
69,Karan Desai,26,female,Loan,44248.17961,0,Rejected,637.46347,52303.34007,Salaried,135,-5583141018,mumbai,3
70,Neha Verma,,F,Loan,31168.20965,200000,approved,,28851.50911,salaried,24,9297029478,Thane,8
71,Ravi Joshi,70,Female,savings,74214.79078,0,Rejected,698.4999029,35670.36728,salaried,182,2931991756,Nagpur,10
72,Priya Rao,19,female,savings,62380.74397,200000,Pending,,31284.20343,Unemployed,167,,Pune,4
73,Sakshi Sharma,37,Female,savings,40837.26026,0,Pending,580.9937334,48752.3309,salaried,177,261105828,delhi,6
74,Priya Desai,45,Female,FD,42845.65635,0,rejected,630.1091431,949.9227032,Self-Employed,94,1203696900,Nagpur,0
75,Chetan Nair,64,Female,Loan,42120.37273,0,Pending,733.6334003,34800.67589,Unemployed,32,2916465061,Pune,5
76,Aditya Nair,77,female,current,,100000,Rejected,712.6253031,,Salaried,110,9404579707,delhi,7
77,Amit Rao,24,M,FD,21108.85113,200000,Pending,553.8998384,29556.36335,Self-Employed,145,8851881248,delhi,13
78,Priya Sharma,61,M,Savings,16774.41013,0,Approved,674.603593,,Salaried,230,6511832571,mumbai,0
79,Amit Verma,78,Female,savings,50580.93545,0,Pending,511.5242325,24352.04649,Salaried,271,5508202156,Nagpur,8
80,Ravi Yadav,25,F,FD,71506.28279,300000,approved,653.2854431,44261.55413,salaried,37,4939866028,Thane,2
81,Sakshi Patil,64,Male,FD,39246.20605,0,Approved,782.8436912,39275.03346,salaried,134,-8870081331,Thane,0
82,Neha Patil,52,female,Savings,56068.89502,50000,rejected,583.6475098,50138.23103,Unemployed,234,9897838774,Mumbai,0
83,Karan Verma,31,Male,Current,64685.21834,50000,approved,591.5973868,26993.73098,salaried,159,8479703059,Pune,12
84,Aditya Nair,34,F,Loan,30132.43589,0,Rejected,703.4820847,26204.37321,Salaried,37,2189997985,Mumbai,13
85,Chetan Yadav,53,female,current,49600.49143,200000,Rejected,542.0038939,48152.83889,Salaried,149,-9855567927,Delhi,10
86,Sneha Sharma,67,Female,Current,36669.59037,100000,Rejected,605.7071479,40103.8557,Self-Employed,28,8195678265,Thane,5
87,Priya Yadav,57,M,savings,82122.38984,0,approved,691.7508796,16460.75184,Salaried,143,7368587895,Pune,10
88,Ravi Joshi,21,Male,FD,81249.19014,0,approved,605.5999907,28528.33983,Unemployed,75,233675149,mumbai,5
89,Amit Patil,19,male,Savings,30153.1432,0,approved,633.4821009,39636.59185,Unemployed,144,6789161365,Mumbai,0
90,Priya Patil,79,male,Savings,57717.68766,100000,Approved,702.0929997,45053.17066,salaried,228,-3554379455,mumbai,13
91,Ravi Patil,23,F,Loan,71351.98602,0,Approved,679.5082258,26849.23216,salaried,63,5809524772,mumbai,13
92,Neha Desai,71,Female,Current,66966.59001,100000,Rejected,668.6772877,28.9281222,salaried,268,4035993350,mumbai,2
93,Amit Nair,59,Male,Loan,,0,Pending,626.2614405,41278.67823,Unemployed,183,,Mumbai,6
94,Sneha Patil,21,Female,FD,76131.14924,0,Rejected,675.9042781,20356.15172,Salaried,260,2234750347,Delhi,9
95,Chetan Sharma,71,Male,Loan,31909.70622,0,rejected,641.3387124,10791.93442,salaried,267,7921613374,delhi,2
96,Sneha Patil,46,F,current,43938.14111,50000,Approved,850,1012.0889,Self-Employed,168,4335938664,delhi,2
97,Aditya Desai,35,F,Savings,32447.1516,200000,approved,615.2147582,44767.77032,salaried,258,2203343110,Mumbai,2
98,Sneha Yadav,43,male,Savings,65649.86989,0,Approved,637.2201718,36543.4094,Unemployed,226,4801138972,delhi,11
99,Amit Rao,,Female,savings,38347.26251,50000,approved,850,32292.12343,salaried,32,7003582109,Nagpur,6
100,Priya Nair,51,female,savings,46575.01649,0,rejected,647.5494673,51668.29236,Salaried,213,3162666864,delhi,3
101,Priya Sharma,27,male,FD,62353.40737,50000,rejected,593.2299395,,salaried,49,8245881420,Thane,3
102,Neha Joshi,79,Female,current,63964.99828,0,Approved,572.0167485,54395.60051,Unemployed,209,-5125795054,Mumbai,2
103,Neha Joshi,53,male,Current,31857.47307,100000,approved,668.1062803,18287.17433,Unemployed,28,-8516013019,delhi,9
104,Sakshi Joshi,31,female,Loan,71133.10568,300000,rejected,664.8917843,34585.39251,Self-Employed,38,-9556162193,Mumbai,10
105,Ravi Yadav,48,M,FD,59113.79337,50000,Rejected,704.8011614,15599.4395,Unemployed,99,8692111386,Delhi,8
106,Priya Rao,65,M,savings,28365.94321,0,Rejected,619.8212101,32247.41202,Self-Employed,172,790073657,Nagpur,1
107,Karan Sharma,32,M,Loan,23445.68208,0,approved,678.5636993,32016.60975,Salaried,16,-919604508,Mumbai,3
108,Ravi Nair,25,M,savings,49683.60579,300000,Approved,688.5558301,42519.36365,Unemployed,55,2088045264,Thane,7
109,Sakshi Sharma,31,Male,Loan,67001.87979,200000,rejected,681.1341665,35546.76657,salaried,225,-9314743213,delhi,5
110,Amit Desai,40,M,Current,67514.31725,0,Approved,592.2042422,42480.88566,Salaried,45,262452837,Thane,13
111,Neha Yadav,77,female,FD,57123.33754,0,Rejected,660.4554438,43441.2816,salaried,66,6234271320,delhi,6
112,Amit Sharma,74,F,Loan,50973.49677,0,rejected,675.4898207,60859.14413,salaried,196,-6168896839,Mumbai,12
113,Amit Patil,79,F,current,60234.75338,100000,Approved,650.5024927,31216.44014,salaried,141,1519458663,mumbai,6
114,Sneha Desai,57,Male,Savings,32893.38971,50000,Pending,503.9465639,23707.72759,Salaried,22,9582433983,delhi,1
115,Amit Verma,38,M,current,83739.75726,200000,approved,661.2342737,37953.00338,Salaried,93,9403391438,mumbai,3
116,Sakshi Yadav,33,M,current,83478.76836,300000,approved,804.8771728,25372.63967,Unemployed,241,9613336850,Nagpur,9
117,Neha Nair,62,M,Savings,58576.24629,100000,Pending,624.7972512,52783.52922,salaried,236,6112103617,Thane,9
118,Amit Desai,,male,current,53946.0084,0,Rejected,599.0346032,31601.38353,Self-Employed,53,6959937322,mumbai,5
119,Priya Rao,64,Female,Loan,,200000,rejected,676.1343992,28213.08359,Unemployed,137,3154166932,Thane,2
120,Chetan Sharma,70,male,Loan,60574.97692,50000,approved,671.8664747,29344.21135,Salaried,271,-9010343052,delhi,8
121,Neha Yadav,41,Female,Loan,36173.65258,50000,Pending,733.4914616,43621.00908,Self-Employed,40,4281425857,delhi,12
122,Karan Rao,43,M,Savings,5527.75938,300000,Pending,561.9492291,33107.0362,Salaried,97,-8428002644,Nagpur,3
123,Amit Rao,42,M,current,-4282.14601,0,Rejected,701.1966177,27299.99816,Self-Employed,182,7336455683,delhi,9
124,Sakshi Rao,77,male,Savings,34010.03334,300000,Rejected,691.3295443,54984.22301,Unemployed,127,3871630986,Nagpur,12
125,Ravi Desai,77,male,Loan,53127.56246,0,Approved,640.0497424,24725.96191,Self-Employed,228,9678871430,mumbai,1
126,Chetan Joshi,77,Female,current,56639.43468,200000,approved,673.7081123,35426.79289,Unemployed,85,26718636,delhi,5
127,Aditya Joshi,62,F,current,40264.85983,200000,Approved,722.0620237,42827.67382,Salaried,255,4008718863,Mumbai,0
128,Sneha Rao,58,Female,savings,52836.70334,0,Pending,711.0620766,15423.97867,Self-Employed,208,6314324836,Pune,5
129,Ravi Joshi,46,male,savings,44515.43286,0,rejected,569.9886482,40763.12602,salaried,214,4265607699,Delhi,12
130,Ravi Sharma,32,female,Current,30013.74485,0,rejected,707.4110731,22338.70789,salaried,99,2205792222,Pune,11
131,Aditya Patil,62,male,FD,48925.10982,200000,Rejected,645.4717976,44873.39337,Salaried,48,8126331509,Pune,9
132,Sakshi Nair,18,female,savings,66259.14225,200000,rejected,655.1011869,23448.18786,Self-Employed,200,1101791186,Thane,0
133,Karan Yadav,42,Male,Savings,30918.76505,100000,rejected,655.1237894,43313.22838,salaried,257,7743280112,Nagpur,13
134,Karan Yadav,24,male,savings,30927.90774,100000,rejected,639.4829908,48269.9968,Unemployed,177,-8800319278,Thane,7
135,Aditya Desai,26,Male,Current,28614.98812,100000,Pending,733.4195248,45337.23831,Self-Employed,244,-4072322250,mumbai,4
136,Karan Sharma,41,F,current,11269.62531,0,rejected,644.1397428,38015.79978,Self-Employed,122,-6380380916,Delhi,5
137,Neha Rao,18,Female,Current,40395.95252,0,rejected,571.631771,32224.38868,salaried,170,6652013460,mumbai,1
138,Neha Verma,61,female,current,,50000,rejected,622.4529101,28082.96508,Unemployed,135,8216345086,Mumbai,1
139,Amit Yadav,25,Female,current,53478.32168,100000,Approved,662.5086302,52652.41629,Unemployed,58,,Delhi,11
140,Sakshi Yadav,41,Male,FD,,0,Pending,736.0450349,26606.05736,Unemployed,192,-1192896034,Thane,8
141,Priya Patil,28,female,savings,52581.29596,300000,Rejected,692.2166279,22555.20712,Self-Employed,267,-1119509559,delhi,2
142,Aditya Verma,68,Female,Savings,40220.37025,0,Approved,590.4625305,42984.42722,Salaried,259,5296518288,delhi,5
143,Ravi Yadav,34,male,Savings,11042.26725,100000,approved,823.9632942,25446.35836,Self-Employed,94,,Thane,9
144,Sneha Patil,25,M,Loan,65674.37564,300000,Pending,668.5342718,23599.23803,Self-Employed,124,9765033645,mumbai,4
145,Amit Patil,52,Male,current,71422.49148,50000,Pending,739.2773517,17676.74885,salaried,40,3006841406,Thane,13
146,Sakshi Yadav,52,Female,Savings,35436.86448,0,approved,639.3799896,29205.08193,Salaried,253,1975606478,Thane,11
147,Priya Patil,50,Male,FD,46983.28759,0,approved,687.3351471,34007.41971,Unemployed,6,7065205459,Pune,3
148,Sneha Joshi,76,Male,current,45260.01658,50000,approved,708.7627953,37917.10073,salaried,215,9497376919,Mumbai,9
149,Sneha Desai,22,female,FD,57025.77619,100000,Rejected,735.2736298,46415.67493,Self-Employed,68,4762916117,delhi,1
150,Chetan Verma,,female,Savings,83797.86913,0,rejected,724.0157814,41322.77508,Salaried,68,-7921306009,Pune,7
151,Priya Nair,56,M,Savings,73195.82491,50000,Pending,711.05379,32709.53337,Unemployed,80,6747416239,Thane,9
152,Aditya Yadav,75,male,Loan,42461.71549,50000,rejected,627.9439288,32621.65188,Unemployed,29,,Nagpur,6
153,Karan Yadav,58,Male,Savings,60849.27723,50000,rejected,609.9777771,41121.88963,Self-Employed,72,2435341649,Pune,10
154,Amit Yadav,45,Female,current,75087.13737,0,approved,673.2825257,50270.84196,Unemployed,261,,Thane,1
155,Chetan Sharma,24,F,current,58166.90329,0,Rejected,715.3189651,36515.77039,Unemployed,88,8749627269,delhi,5
156,Aditya Verma,26,Male,current,49906.01191,300000,Approved,634.4095509,29370.42975,Salaried,207,3996777300,Thane,13
157,Karan Desai,,Male,Loan,58920.00189,0,Rejected,724.5620376,23085.60799,salaried,212,1014372816,Mumbai,7
158,Neha Joshi,29,M,Loan,508073.2652,100000,rejected,751.6831722,17657.53683,Salaried,265,3659720094,mumbai,6
159,Neha Verma,51,male,Savings,38854.37752,100000,Rejected,585.8575357,42995.23606,salaried,292,8195308589,Delhi,14
160,Ravi Desai,50,F,Current,28719.3153,300000,approved,591.4155507,41935.74228,salaried,206,,Pune,0
161,Sneha Verma,65,female,Current,56141.29033,0,Approved,640.1737459,41928.3623,salaried,76,6598866863,Pune,4
162,Amit Joshi,72,female,Loan,47371.94188,50000,approved,671.5328868,33456.08664,Unemployed,287,8222687698,Pune,1
163,Ravi Verma,40,Female,Savings,,0,Approved,613.280309,51883.21695,Salaried,46,8926449483,Thane,5
164,Ravi Yadav,79,F,Current,46716.41177,100000,rejected,744.6541875,29190.57806,Unemployed,109,7323237056,Mumbai,6
165,Karan Yadav,41,female,Savings,59399.96522,300000,Approved,679.6846803,46463.23085,Self-Employed,199,3831611586,Thane,13
166,Sneha Verma,54,Female,Savings,88294.24612,200000,Approved,652.7612934,34535.08526,Salaried,209,283600527,Thane,13
167,Sneha Rao,52,male,Savings,508073.2652,300000,Approved,549.4863333,27699.79082,salaried,153,8386374287,mumbai,6
168,Ravi Nair,61,Female,savings,4317.04285,100000,Rejected,557.8928929,42110.36369,Unemployed,9,,Nagpur,2
169,Neha Nair,57,female,current,54786.16934,50000,Rejected,669.6706475,39915.63342,Unemployed,156,800523282,Mumbai,6
170,Sneha Nair,39,M,Savings,78586.48525,200000,rejected,500.7183062,39283.67311,Salaried,260,6072164735,Pune,14
171,Karan Nair,44,M,savings,23242.53018,0,Approved,720.8846187,35975.34106,Salaried,76,-6999393988,Delhi,4
172,Priya Yadav,52,M,Loan,61031.1854,0,Pending,638.9292309,34545.28302,salaried,256,6278466982,Pune,7
173,Sakshi Nair,18,female,Current,45267.15629,0,rejected,877.0165079,63660.46391,salaried,130,5767556109,Thane,14
174,Amit Rao,52,M,current,73005.81062,0,Approved,811.5541375,,Self-Employed,66,2384807235,Mumbai,11
175,Karan Nair,54,F,Current,58085.1439,300000,Approved,637.2985652,43673.92274,salaried,227,,delhi,7
176,Neha Yadav,64,male,current,32319.69091,0,Rejected,642.5564098,36341.5899,Unemployed,162,5558125429,Mumbai,6
177,Priya Rao,31,Female,Current,45982.97043,0,rejected,719.690706,47085.88641,Self-Employed,14,92136007,Mumbai,5
178,Sneha Joshi,20,Female,current,47166.08648,100000,Approved,769.2220827,41215.93732,Self-Employed,231,5064963956,Nagpur,1
179,Chetan Yadav,18,female,Current,47536.4357,100000,Approved,535.337966,35314.45703,Self-Employed,194,-9152200841,Pune,5
180,Aditya Sharma,22,M,Current,72385.2589,0,rejected,524.9537174,31357.2281,Salaried,29,3567548805,Nagpur,12
181,Neha Desai,,M,Current,33147.60157,200000,Pending,606.4575636,34028.99195,salaried,295,,delhi,11
182,Ravi Rao,72,Male,Current,70061.02619,0,rejected,690.7916308,-3045.108831,Self-Employed,219,7248191171,delhi,14
183,Karan Nair,31,male,Loan,43955.00648,100000,rejected,684.7811513,37527.21007,Salaried,146,-2122613062,mumbai,10
184,Sneha Sharma,56,F,Savings,54470.22213,0,Pending,724.8840018,29138.28704,Salaried,258,,Delhi,8
185,Amit Desai,44,Female,FD,508073.2652,300000,rejected,,54112.03998,Self-Employed,291,9253137745,mumbai,14
186,Priya Verma,26,Male,savings,49563.89324,200000,Approved,487.8699296,35232.12885,Self-Employed,298,1969630473,Thane,1
187,Sakshi Yadav,32,Male,FD,,0,rejected,,20732.43897,Unemployed,142,6004844428,Nagpur,0
188,Chetan Yadav,32,female,FD,79147.17117,200000,Pending,592.0262609,34401.43815,Self-Employed,234,-814586291,Nagpur,10
189,Priya Patil,43,Female,current,66848.9985,100000,approved,508.7058495,22446.54698,Unemployed,114,3723254857,mumbai,12
190,Neha Sharma,59,female,Savings,42745.68621,0,rejected,660.1544622,40680.88899,Self-Employed,89,1999836184,Thane,4
191,Karan Rao,77,F,current,81655.74508,300000,Rejected,705.5222982,38491.36837,Self-Employed,207,1887847929,Mumbai,10
192,Chetan Verma,30,Male,Savings,508073.2652,0,Approved,641.4560008,46494.07557,salaried,163,7164806634,Thane,5
193,Aditya Desai,68,Male,Savings,57152.48519,50000,Approved,617.950613,25509.4185,Self-Employed,83,,Pune,2
194,Sneha Yadav,49,male,Current,33253.61841,300000,Rejected,638.8446437,35408.09715,Self-Employed,76,3040649201,mumbai,7
195,Sneha Sharma,56,F,Loan,,0,Rejected,624.0592066,18619.73845,Unemployed,160,2791739267,Thane,6
196,Sakshi Desai,66,Male,Current,36229.92984,200000,rejected,555.6367022,43417.93738,Unemployed,4,1002904949,Mumbai,1
197,Priya Sharma,69,F,Loan,51721.4573,0,Rejected,599.9723526,41226.45417,salaried,77,7882240924,Thane,11
198,Chetan Sharma,78,Female,current,62775.66159,300000,approved,686.4895934,40949.66025,Self-Employed,90,-6752554559,Nagpur,6
199,Aditya Nair,49,M,Loan,57344.64599,200000,Pending,672.5174979,35019.42838,Self-Employed,86,2370971075,Delhi,14
200,Sneha Yadav,21,Male,current,81760.88312,0,Rejected,661.7641864,39977.27469,Unemployed,269,-7477983864,Nagpur,14
201,Sneha Desai,47,male,FD,32244.8399,100000,Rejected,580.3396063,54252.0693,Salaried,103,,delhi,0
202,Sakshi Joshi,54,Female,FD,508073.2652,300000,approved,850,31578.86892,Salaried,174,8243249466,Delhi,8
203,Aditya Verma,,F,Loan,24341.21341,100000,Approved,497.6054467,36663.7422,Salaried,53,3490405059,delhi,12
204,Aditya Desai,56,female,Loan,31562.58057,300000,Approved,662.4933665,21966.48441,Unemployed,210,-5868835267,Thane,6
205,Neha Sharma,62,Female,current,75291.56755,100000,rejected,750.0200395,24580.86846,Unemployed,94,,Pune,5
206,Amit Patil,32,Male,Current,40736.70267,200000,approved,546.8107508,36173.75952,Salaried,222,1185313628,Thane,12
207,Chetan Nair,60,F,current,33932.72408,50000,Pending,608.9850629,48247.20256,Salaried,8,452256510,Mumbai,1
208,Neha Yadav,46,M,Current,7400.462488,300000,Pending,,31924.63011,Self-Employed,52,-1845916023,Thane,2
209,Priya Joshi,53,Female,FD,33732.90704,300000,approved,737.6989844,32169.00165,Unemployed,76,6301015546,Delhi,0
210,Sneha Verma,30,Male,Savings,45894.39452,100000,Pending,618.6242769,30117.37707,Unemployed,205,1410078568,Nagpur,14
211,Aditya Nair,49,male,Loan,,0,Approved,601.542477,28582.91995,Salaried,111,-5989877441,Pune,9
212,Priya Patil,24,female,Current,44744.33222,300000,Pending,512.17538,38539.65747,Salaried,164,1117770651,delhi,12
213,Ravi Desai,76,F,current,75412.62121,100000,Pending,657.2406691,17032.90826,salaried,278,9961499374,Thane,4
214,Amit Desai,68,Female,FD,35853.89319,0,approved,792.9453228,,Unemployed,26,7232966738,Thane,8
215,Priya Desai,39,Female,Current,,100000,approved,669.4150923,27014.93242,salaried,69,3846558477,Nagpur,12
216,Chetan Yadav,,M,current,27521.97066,200000,Pending,648.4404715,43662.84183,Self-Employed,217,53731254,Pune,5
217,Ravi Desai,19,M,Loan,27164.71815,50000,Rejected,672.5457618,19760.01683,salaried,188,1801457612,mumbai,4
218,Sneha Rao,59,male,Loan,60711.54894,0,approved,649.2235597,43026.08157,Salaried,123,8384138261,delhi,11
219,Sakshi Rao,62,female,savings,50973.37474,200000,rejected,593.0889939,43063.33529,Unemployed,18,,Thane,2
220,Priya Joshi,79,male,Savings,69137.13759,200000,rejected,707.6295941,39610.42486,Unemployed,256,3949973349,Thane,4
221,Aditya Desai,74,Male,savings,90396.75783,200000,Approved,,23066.85774,salaried,295,8574113617,mumbai,7
222,Amit Desai,70,Male,FD,13392.17736,0,Pending,651.2329276,37994.57828,salaried,21,,delhi,11
223,Karan Rao,23,male,Current,57601.57417,200000,Rejected,581.7243781,20803.32578,Self-Employed,39,-2234382983,Delhi,1
224,Aditya Yadav,45,female,FD,27627.61331,0,Approved,741.2455552,31966.84094,Self-Employed,37,9234347979,Delhi,4
225,Neha Rao,45,male,current,65777.98596,200000,Pending,696.5291922,47352.95721,Salaried,47,4405303343,Mumbai,5
226,Neha Nair,61,female,Loan,44561.75998,0,approved,611.2955414,44560.42312,Salaried,182,8866612349,Nagpur,9
227,Ravi Joshi,61,female,savings,50546.45522,0,rejected,720.1277398,35182.19531,Salaried,74,-2827451976,Pune,7
228,Chetan Nair,37,F,savings,24336.45144,0,Rejected,615.1700413,23302.32109,salaried,208,2527575437,Thane,7
229,Sneha Joshi,47,female,savings,41471.4595,200000,rejected,595.2597555,42747.05255,salaried,182,-8535896921,delhi,14
